index,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12,Spacious Harlem Home in Manhattan!,9486614,Roberto,Manhattan,Harlem,40.81157,-73.94654,Entire home/apt,500,3,0,,,1,51
13,"In the heart of Hunters Point, Long Island City",74116175,Lauro,Queens,Long Island City,40.74547,-73.95198,Entire home/apt,300,2,7,1/07/2019,2.26,1,40
14,Stunning Brooklyn brownstone 20 mins to Manhattan,22627992,Ed,Brooklyn,Park Slope,40.67681,-73.97535,Entire home/apt,450,6,12,29/12/2018,0.24,1,2
15,Large 1 Bedroom Apartment in Chelsea,6397405,Matt,Manhattan,Chelsea,40.74484,-73.99688,Entire home/apt,275,2,2,9/06/2019,1.76,1,15
16,Perfect Beautiful Modern House in NYC Summer,12898987,Johan,Queens,Ditmars Steinway,40.77537,-73.90279,Entire home/apt,150,3,49,5/06/2019,2.74,1,324
17,Bright Private Bedroom in Williamsburg (Bedford L),302936,Melody,Brooklyn,Williamsburg,40.71943,-73.95958,Private room,65,30,52,31/10/2018,0.54,1,276
18,Charming Apartment in Greenpoint,138150256,Alejandro,Brooklyn,Greenpoint,40.73324,-73.95304,Entire home/apt,110,7,1,26/05/2019,0.68,2,23
19,"6 Guests! Close to JFK-Manhattan(30 min ""A"" train)",67746251,Gasminee,Queens,Ozone Park,40.68268,-73.84977,Entire home/apt,149,1,0,,,4,113
20,Amazing Studio at the Time Square Area/54D,48146336,Irina,Manhattan,Hell's Kitchen,40.76318,-73.99335,Entire home/apt,130,30,2,8/05/2019,0.5,20,263
21,Family suites in UpperEastSide Townhouse,199466039,Sydney,Manhattan,Upper East Side,40.77669,-73.95283,Private room,299,1,4,23/06/2019,0.35,3,365
22,Private Sun-Splashed Studio Chelsea,221366300,Casey,Manhattan,Chelsea,40.74303,-73.99727,Entire home/apt,200,1,34,2/07/2019,4.66,1,0
23,Bedroom in Bushwick,7364894,Mac,Brooklyn,Bushwick,40.70128,-73.9253,Private room,40,7,0,,,1,0
24,Lovely room in doorman building,17616305,Gabrielle,Manhattan,Harlem,40.82774,-73.9508,Private room,90,2,127,6/07/2019,2.15,1,58
25,Apartment in Best location in NYC,1370358,Keiko,Manhattan,West Village,40.72953,-74.00462,Entire home/apt,145,7,11,27/05/2015,0.12,1,0
26,Dominiques NYC 4Bedrm crashpad**Stay here**metro,310670,Vie,Bronx,Eastchester,40.88207,-73.83538,Entire home/apt,299,2,2,21/05/2019,0.18,13,358
27,"Great room in hip, but quiet Williamsburg, BKLYN.",12715154,Leo,Brooklyn,Williamsburg,40.72032,-73.94561,Private room,130,7,2,15/05/2019,0.32,2,212
28,Bushwicks Finest!! Enjoy a long weekend or week!!!,181075211,Mario,Brooklyn,Bedford-Stuyvesant,40.69107,-73.92638,Private room,56,2,1,5/07/2019,1,1,179
29,Williamsburg Studio Apartment,41079797,Emma Leigh,Brooklyn,Williamsburg,40.71158,-73.94653,Entire home/apt,94,1,28,16/06/2019,0.62,1,274
30,Lenox Suit Hotel Themed Studio,81908583,Kasey,Manhattan,Harlem,40.81865,-73.93684,Entire home/apt,80,1,89,21/06/2019,4.44,1,47
31,"Private Bdrm in Huge Apt mins to Manhtn,JFK,LGA!",70331348,Nataly,Queens,Sunnyside,40.73739,-73.92397,Private room,49,1,2,1/01/2019,0.31,1,0
32,Shineroom,159974287,Rasul,Queens,Flushing,40.76245,-73.8238,Private room,38,5,34,8/06/2019,1.82,1,353
33,Brooklyn Flavor Atelier,38380486,Tiffany,Brooklyn,Williamsburg,40.70521,-73.94258,Entire home/apt,140,2,4,1/01/2018,0.08,1,0
34,HOME AWAY FROM HOME 4 Guest private,4204783,Kevin,Staten Island,West Brighton,40.63168,-74.12316,Private room,89,2,12,26/06/2019,0.43,3,279
35,Beautiful 1BR in Prime West Village,1908073,Andrew,Manhattan,West Village,40.73194,-74.00189,Entire home/apt,200,4,45,1/07/2019,0.59,1,48
36,Penn room 12,244817841,Aminul,Brooklyn,East New York,40.66929,-73.89421,Private room,38,7,4,29/06/2019,2.35,13,282
37,"Great, sunny 1 bedroom apartment in prime location",41060870,Dan And Lily,Manhattan,Lower East Side,40.72077,-73.98551,Entire home/apt,160,4,0,,,1,0
38,One bedroom in Brooklyn Heights,35996743,Scott,Brooklyn,Boerum Hill,40.68958,-73.99141,Entire home/apt,118,2,3,12/11/2018,0.21,1,0
39,Quiet Harlem Studio w/ Backyard & Close to Train,41047066,Trinity,Manhattan,Harlem,40.81629,-73.94131,Entire home/apt,71,2,24,1/07/2019,1.45,1,55
40,"Global Sanctuary ~ Brooklyn, Entire House",88036082,DaNeilia,Brooklyn,East Flatbush,40.63912,-73.92827,Entire home/apt,125,2,17,8/03/2019,2.48,2,0
41,Comfortable 1BR on quiet street in Upper East Side,6945858,Lydia,Manhattan,Upper East Side,40.76969,-73.95509,Entire home/apt,250,30,0,,,1,0
42,LARGE & CONVENIENT Private Room in Brooklyn,164303137,Mamiko,Brooklyn,Bedford-Stuyvesant,40.69422,-73.93288,Private room,39,4,58,1/07/2019,3.16,2,32
43,Adorable Room w/Gym Access-Hamilton Hts Manhattan,4592344,Ally,Manhattan,Harlem,40.82261,-73.95544,Private room,53,3,1,4/06/2019,0.86,1,74
44,Park Place Townhouse by (Hidden by Airbnb),156158778,Sally,Brooklyn,Park Slope,40.67859,-73.97787,Entire home/apt,500,1,0,,,12,31
45,Cool & Calm 3 Bed Apartment in Beautiful Bedstuy,18146050,Joseph,Brooklyn,Bedford-Stuyvesant,40.68029,-73.94693,Entire home/apt,38,4,5,11/06/2018,0.27,1,0
46,Amazing Astoria apt minutes away from Manhattan!,245399415,Andrzej,Queens,Astoria,40.75664,-73.92806,Entire home/apt,180,1,12,2/07/2019,2.98,1,82
47,Nice comfy room,58453451,Michael,Brooklyn,East New York,40.67333,-73.8872,Private room,40,2,84,4/07/2019,2.45,2,273
48,Sun-lit Bright Apt in Central Hell's Kitchen,18305503,Derek,Manhattan,Hell's Kitchen,40.76637,-73.98941,Entire home/apt,130,2,3,7/04/2018,0.19,1,0
49,Bx Apartment,45671454,Vii,Bronx,Olinville,40.88438,-73.86397,Private room,125,1,0,,,1,0
50,"3 Bedroom, 2 Bath Apt in East Village- Penthouse",177353847,East Village,Manhattan,East Village,40.72601,-73.99086,Entire home/apt,500,4,19,31/05/2019,1.27,4,151
51,Private Single Room 4 min walk to subway,175771113,Victoria,Brooklyn,East Flatbush,40.64575,-73.94654,Private room,36,15,1,22/06/2019,1,1,46
52,Lovely stay next to Prospect Park,9030221,Alex,Brooklyn,Prospect-Lefferts Gardens,40.65563,-73.96052,Private room,73,2,137,23/05/2019,3.94,1,0
53,Stunning 3 bedroom in townhouse right on Union Sq,249929999,Natalli,Manhattan,Gramercy,40.73683,-73.98816,Entire home/apt,500,5,11,7/07/2019,3.93,1,282
54,Family Studio beside Empire State #53,177174475,Alberto,Manhattan,Midtown,40.74793,-73.98834,Entire home/apt,120,1,3,8/02/2019,0.47,17,257
55,Small Cozy Room,20414850,Han,Queens,Glendale,40.70419,-73.88558,Private room,40,2,2,29/12/2016,0.06,1,0
56,Beautiful Brooklyn Brownstone next to Park,26620387,Louise,Brooklyn,Park Slope,40.66737,-73.9747,Entire home/apt,500,4,0,,,1,19
57,A Bay Window on Brooklyn,10273704,Matt,Brooklyn,Fort Greene,40.68831,-73.97549,Entire home/apt,200,7,3,3/01/2018,0.09,2,0
58,Country House in the City,3695529,Jenni,Brooklyn,Carroll Gardens,40.68358,-73.99474,Entire home/apt,500,5,12,16/05/2019,0.25,2,174
59,Bohemian & Chic Apartment.,23988743,Rachid,Brooklyn,Bushwick,40.69319,-73.92375,Private room,75,2,22,4/06/2019,0.46,1,362
60,GREAT ROOM Fast 2 TIMES SQ 9min NYC,2347382,Massi & Ray,Queens,Long Island City,40.74997,-73.9397,Private room,70,1,148,1/06/2019,1.9,2,303
61,Spacious shared room in modern Bed-Stuy,159811367,Sergii,Brooklyn,Bedford-Stuyvesant,40.69312,-73.94073,Shared room,32,31,4,16/03/2019,0.28,10,341
62,Charming Greenwich Village studio,4924435,Darla,Manhattan,Greenwich Village,40.73356,-73.99876,Entire home/apt,225,1,3,1/01/2019,0.04,1,188
63,Close to all NYC! Perfect place and cozy room,48972208,Yuri,Manhattan,Hell's Kitchen,40.75996,-73.99798,Private room,89,1,0,,,1,0
64,A futon in a beautiful studio for females only,20771576,Maryam,Manhattan,East Harlem,40.78999,-73.95226,Shared room,30,3,5,13/06/2018,0.32,2,0
65,"Spacious, Private, Comfortable N. HARLEM Apartment",118126,Pat,Manhattan,Harlem,40.83135,-73.94442,Entire home/apt,200,3,114,2/07/2019,3.19,1,165
66,Beautiful Large Private 1 Bd w/ Mediation Space,19247979,Neelam,Brooklyn,Flatbush,40.63488,-73.96546,Entire home/apt,85,3,0,,,1,0
67,Two Floor Penthouse Apartment with Private Terrace,152629314,Rahul,Manhattan,East Village,40.72454,-73.97573,Private room,80,3,2,25/01/2018,0.11,1,0
68,Spacious 1 BDRM near Central Park,25116430,Michael,Manhattan,Upper East Side,40.77559,-73.95263,Entire home/apt,140,1,183,5/06/2019,4.56,1,63
69,Artistic Loft In East Williamsburg,8620509,Verdis,Brooklyn,Williamsburg,40.70508,-73.93763,Entire home/apt,165,5,0,,,1,20
70,Sonder | 21 Chelsea | Quaint 1BR + Rooftop,219517861,Sonder (NYC),Manhattan,Chelsea,40.74305,-73.99415,Entire home/apt,254,29,0,,,327,365
71,"Bright, serene apt in Fort Greene/Clinton Hill",10294707,Amanda,Brooklyn,Clinton Hill,40.69025,-73.96704,Entire home/apt,130,2,15,21/04/2019,0.41,1,0
72,"Bright renovated apartment, quiet Bushwick block!",3440653,Jessica,Brooklyn,Bushwick,40.69493,-73.92276,Entire home/apt,135,3,42,24/06/2019,3.04,1,92
73,Manhattan studio near Central Park & Times Square.,38407262,Kay,Manhattan,Upper West Side,40.80017,-73.96882,Entire home/apt,115,3,9,22/06/2019,1.34,1,315
74,SUNNY PRIVATE ROOM & BACKYARD in ♥︎ WILLIAMSBURG,246680134,Anastasiia,Brooklyn,Williamsburg,40.71879,-73.95993,Private room,90,1,11,7/07/2019,5.59,2,58
75,Comfy Room Close the Subway ABCD&1!,4534649,L & A,Manhattan,Harlem,40.8179,-73.9539,Private room,75,2,52,8/03/2017,1.04,3,0
76,Modern Brooklyn Loft in Full-Service Elev Bldg,83076690,Stacie,Brooklyn,Prospect Heights,40.68219,-73.97259,Entire home/apt,220,3,6,1/07/2019,0.52,1,0
77,Two-Level Garden Apartment in the Heart of Harlem,251378476,Mike,Manhattan,East Harlem,40.80622,-73.94171,Entire home/apt,195,2,10,28/06/2019,3.75,1,0
78,Family House 旅行客栈,240055586,George,Queens,Fresh Meadows,40.73704,-73.79151,Entire home/apt,255,1,13,17/06/2019,2.87,5,114
79,Awesome clean & cozy space in Sunset Park!,37684272,J,Brooklyn,Borough Park,40.6467,-73.99679,Private room,49,2,77,1/07/2019,5.83,1,0
80,Clean private room with bathroom,47886371,Megan,Brooklyn,Midwood,40.62402,-73.97071,Private room,50,1,1,29/12/2015,0.02,1,0
81,Lovely Studio in FiDi by Sonder,219517861,Sonder (NYC),Manhattan,Financial District,40.70844,-74.00615,Entire home/apt,500,29,0,,,327,333
82,Huge Western Room on the Top Floor of a Townhouse,17260320,Jon,Brooklyn,Bedford-Stuyvesant,40.6866,-73.9532,Private room,75,3,7,18/01/2019,0.72,1,0
83,Clean and comfortable private room,16597509,Sally,Brooklyn,Greenpoint,40.72566,-73.93972,Private room,55,7,1,1/06/2019,0.79,1,28
84,Beautiful Apt in UES,50549111,Laura,Manhattan,Upper East Side,40.77198,-73.95003,Entire home/apt,200,3,3,1/01/2019,0.1,1,0
85,Huge Room in Lower East Side Loft,16430135,Hannes,Manhattan,Lower East Side,40.71846,-73.98672,Private room,80,4,3,19/12/2015,0.06,1,0
86,"Cozy Upper East - 1 Bed
Park | Museums | Subway",25700836,Brenton,Manhattan,Upper East Side,40.77979,-73.95297,Entire home/apt,128,1,11,26/11/2018,0.96,1,30
87,"Bright Large Room, only 30mins to Times Square",5704932,Victor,Bronx,Fordham,40.86615,-73.88828,Private room,60,2,6,23/06/2019,1.96,3,34
88,Beautiful one bedroom in Soho,33889947,Gautier,Manhattan,SoHo,40.72767,-74.00344,Entire home/apt,200,2,20,24/04/2017,0.48,1,0
89,★ Beautiful Apartment in Best Location ★,1510920,Zoë,Manhattan,East Village,40.72366,-73.9903,Entire home/apt,299,2,11,5/07/2019,0.99,1,0
90,Quiet and modern Williamsburg garden 1BR,402569,Celia,Brooklyn,Williamsburg,40.71295,-73.94459,Entire home/apt,180,3,22,16/06/2019,1.98,1,98
91,BEAUTIFUL ARTIST APT IN NOLITA w/ Private Backyard,12616627,Nico,Manhattan,Nolita,40.72297,-73.99539,Entire home/apt,250,1,2,2/01/2016,0.05,1,0
92,"Huge Fort Greene Loft, Prime!",327489,Anthony,Brooklyn,Fort Greene,40.69269,-73.9737,Entire home/apt,125,2,8,30/06/2019,0.31,1,185
93,The City Farmhouse APT A **MONTHLY RENTALS**,119441,Angele,Queens,Astoria,40.75829,-73.91298,Entire home/apt,200,7,10,17/12/2017,0.45,3,247
94,"City retrieve -confort,quite,light",3542562,Jana,Manhattan,Harlem,40.82491,-73.94774,Entire home/apt,149,31,0,,,4,77
95,Flat Iron 2BD Beautiful Apt ,9462127,Krista,Manhattan,Flatiron District,40.74107,-73.98487,Entire home/apt,475,1,0,,,1,0
96,MODERN GARDEN 1BR IN NEWLY RENOVATED TOWNHOUSE,70804640,Akiko,Brooklyn,Bedford-Stuyvesant,40.68378,-73.95592,Entire home/apt,500,2,64,29/06/2019,2.51,1,32
97,Private Room in a two bedroom apt.,9510645,Rylan,Brooklyn,Bushwick,40.70399,-73.92813,Private room,96,1,332,6/07/2019,5.57,2,355
98,Great Room in Astoria! Close to Everything!,3404680,James,Queens,Astoria,40.77329,-73.92832,Private room,100,2,35,21/06/2019,0.42,1,144
99,Warm little building 温馨小筑 따뜻한 작은 건물 G,92706260,Kane,Queens,Flushing,40.73888,-73.8206,Private room,45,1,33,1/07/2019,4.48,5,80
100,Your home away from home in New York City.,58403098,Nilufer,Queens,Sunnyside,40.73726,-73.92775,Private room,45,3,58,20/06/2019,2.53,3,97
101,1910 Town House in leafy Kensington,15476280,Jacques,Brooklyn,Kensington,40.64638,-73.97723,Entire home/apt,499,7,2,11/08/2015,0.03,1,31
102,Beautiful and Quiet Upper West Side Escape,9280524,Greg,Manhattan,Upper West Side,40.79778,-73.97232,Entire home/apt,185,2,1,23/10/2016,0.03,1,0
103,"Clean and spacious,grnd floor apt",53218990,Samuel,Manhattan,Harlem,40.82377,-73.94565,Entire home/apt,110,1,0,,,1,0
104,2 BR affordable - good for groups,204581148,Eddie,Manhattan,East Harlem,40.79729,-73.93092,Entire home/apt,185,1,24,20/06/2019,2.06,1,314
105,Charming 1BR with sun-nook in Brooklyn,92986768,Macushla,Brooklyn,Navy Yard,40.69803,-73.97205,Entire home/apt,94,3,5,6/01/2018,0.14,1,0
106,Private One Bedroom Chelsea Apartment New York-#2,9328763,Synergy Global,Manhattan,Chelsea,40.74566,-73.99673,Private room,138,25,0,,,2,0
107,Modern Apt with Beautiful Views in Manhattan,264742656,Ignacio,Manhattan,Financial District,40.70912,-74.00671,Entire home/apt,249,3,4,3/07/2019,4,1,86
108,Private room in quiet West Harlem Upper Manhattan,128227275,John,Manhattan,Harlem,40.82736,-73.95292,Private room,65,1,41,6/07/2019,1.84,1,81
109,Well Connected & Beautiful Sanctuary!,83403037,Severino,Brooklyn,Clinton Hill,40.68477,-73.96757,Entire home/apt,115,10,0,,,1,0
110,"Brooklynite Room, 10 mins to Williamsburg/LES/City",1678704,Roberto,Brooklyn,Bedford-Stuyvesant,40.69251,-73.9301,Private room,35,1,5,1/09/2018,0.46,3,59
111,Spacious Sunlit 1 BR Apartment in Heart of Harlem,4213096,Jeff,Manhattan,Harlem,40.80355,-73.94647,Entire home/apt,110,30,3,9/05/2019,0.12,1,249
112,Superhost-Pristine 4 Bed Legal Townhouse Midtown 1,69852641,Lisa,Manhattan,Hell's Kitchen,40.763,-73.98642,Entire home/apt,500,2,23,9/06/2019,0.7,3,240
113,Sunny loft-  private room & private living-room,41089134,Carissa,Brooklyn,Red Hook,40.67897,-74.00587,Private room,45,2,17,29/06/2019,5.05,1,87
114,Heart of Bedford Stuyvesant.  Next to subway.   Full floor in brown stone.  Great neighborhood.   20 minutes to downtown Manhattan.   Best place ever.,95915902,Sam,Brooklyn,Bedford-Stuyvesant,40.68883,-73.9525,Entire home/apt,100,2,5,6/01/2019,0.75,1,0
115,Cozy 1 Bedroom Apt in Hamilton Heights,43431867,Tommy,Manhattan,Washington Heights,40.83256,-73.9444,Entire home/apt,96,4,0,,,1,17
116,3 Beds in Private Room 2 - 20 Minutes to Manhattan,220149091,Peter,Brooklyn,Bedford-Stuyvesant,40.69397,-73.94921,Private room,70,2,26,23/06/2019,3.06,4,339
117,Large Bedroom with privet bathroom,231131023,Christina,Brooklyn,Crown Heights,40.66544,-73.9577,Private room,35,2,0,,,1,224
118,New! Modern 2/1 Steps to Central Park!,263853262,Jason,Manhattan,Upper West Side,40.7997,-73.95946,Entire home/apt,330,4,5,6/07/2019,3.85,1,325
119,Stunning 2 story Duplex in SOHO,608275,Helen,Manhattan,Greenwich Village,40.72704,-73.99954,Entire home/apt,300,3,1,3/01/2016,0.02,1,0
120,"Cozy room, Queens, New York",24489871,Adriana,Queens,Rego Park,40.73462,-73.85705,Private room,60,1,64,7/03/2017,1.57,2,280
121,Beautiful Bright Stay in Williamsburg,3363377,Eryka,Brooklyn,Williamsburg,40.70942,-73.94897,Private room,105,2,48,22/06/2019,2.14,2,46
122,Spacious bedroom near Prospect Park,53217509,Kelsey,Brooklyn,Crown Heights,40.67434,-73.95762,Private room,45,4,0,,,1,0
123,Landmark Loft in Williamsburg Brooklyn 1 month min,274702,Sabina Giovanna,Brooklyn,Williamsburg,40.71108,-73.96318,Entire home/apt,224,31,14,5/08/2018,0.2,1,219
124,Brenda's Palace,92190906,Brenda,Brooklyn,Flatlands,40.62636,-73.91824,Entire home/apt,110,3,6,28/06/2019,2.28,1,339
125,Cool Studio Loft in Brooklyn,7503643,Vida,Brooklyn,Greenpoint,40.72533,-73.94014,Entire home/apt,129,30,1,31/05/2018,0.07,52,340
126,NY Duplex Apartment in Flatiron,22568643,Jose,Manhattan,Flatiron District,40.73956,-73.98774,Entire home/apt,500,7,0,,,1,0
127,Roof garden & River Sunsets Zen,7020836,Jeeku,Manhattan,West Village,40.73849,-74.00589,Entire home/apt,225,3,159,24/06/2019,3.4,1,132
128,Beautiful Brooklyn Bedroom!,59093909,Katherine E,Brooklyn,Clinton Hill,40.69525,-73.96604,Private room,45,1,3,14/07/2016,0.08,1,0
129,Sunny Room next to L train,1296938,Kristina,Brooklyn,Williamsburg,40.71069,-73.94106,Private room,100,5,8,15/06/2019,1.21,1,0
130,Luxury Building - Private Room,101550977,Myko,Manhattan,Financial District,40.70602,-74.00891,Private room,90,4,61,29/05/2019,1.9,2,246
131,Modern King-Bed Private room and en-suite Bathroom,91015018,April,Brooklyn,Bedford-Stuyvesant,40.69038,-73.95953,Private room,112,1,29,22/06/2019,5.09,1,84
132,Brand New 2BR in Times Square**WALK EVERYWHERE,225731818,Mengyuan,Manhattan,Theater District,40.75672,-73.98653,Entire home/apt,385,2,1,23/06/2019,1,1,28
133,Private Loft - WALKING DISTANCE to JFK and Casino,211303730,Raj,Queens,South Ozone Park,40.67425,-73.82231,Entire home/apt,115,1,23,22/06/2019,5.95,1,66
134,"SUPER HIGH END condo, roof deck, Ditmas Park Bklyn",121429669,Elizanda,Brooklyn,Kensington,40.63052,-73.97161,Private room,250,2,0,,,1,365
135,Cozy room in Financial District!,159014806,Laura,Manhattan,Financial District,40.71025,-74.00756,Private room,45,7,3,15/12/2017,0.15,1,0
136,2nd floor of 2-family house available for December,227310832,Carol,Queens,Astoria,40.76789,-73.93512,Entire home/apt,500,7,0,,,1,365
137,"Designer apt. in Williamsburg, NYC",4041877,Ana,Brooklyn,Williamsburg,40.71988,-73.95616,Entire home/apt,100,90,4,4/09/2013,0.05,1,250
138,"Private Room- Greenpoint, Willamsburg local",133843931,Bryan,Brooklyn,Greenpoint,40.72675,-73.9554,Private room,37,1,58,15/06/2019,2.34,2,152
139,Luxurious 1BR Apt in Midtown West,30283594,Kara,Manhattan,Hell's Kitchen,40.76103,-73.99745,Entire home/apt,239,30,0,,,121,365
140,sweetheart studio,183610844,Helen,Queens,Fresh Meadows,40.72688,-73.79198,Private room,50,2,6,3/07/2019,0.42,1,51
141,Luxurious Midtown Manhattan Apartment -Ladies Only,163749958,Brianna,Manhattan,Kips Bay,40.74351,-73.97857,Shared room,39,1,4,14/05/2019,0.49,3,324
142,Private Room in Authentic Luxury Loft,4440548,Thomas,Brooklyn,Williamsburg,40.71526,-73.9469,Private room,65,3,6,28/04/2019,0.65,2,88
143,Times Square room With Access to a Terrance,206451695,Vanessa,Manhattan,Hell's Kitchen,40.75949,-73.99567,Private room,181,2,0,,,3,362
144,Luxury Apt on Central Park South,23116237,Kate,Manhattan,Midtown,40.76622,-73.97783,Entire home/apt,350,1,0,,,1,364
145,Grand Concourse Gem,170942459,Edwin,Bronx,Concourse,40.8315,-73.92047,Private room,54,1,16,8/10/2018,0.99,1,69
146,2BR in Hell's Kitchen w/ Gym + Pool close to the subway by Blueground,107434423,Blueground,Manhattan,Hell's Kitchen,40.76186,-73.99714,Entire home/apt,446,30,0,,,232,325
147,Perfect House for the Whole Family,7092157,Dennis,Brooklyn,Kensington,40.64342,-73.97851,Entire home/apt,299,3,4,30/07/2017,0.06,1,321
148,Sunny Private 2 Bedroom Apt. in a Victorian House,42605385,Cameron,Brooklyn,Flatbush,40.63627,-73.96514,Entire home/apt,113,7,0,,,3,0
149,Bear(A)Close to JFK&LGA&Citi Field&Subway#Parking,191571338,Geheng,Queens,Flushing,40.74674,-73.82298,Private room,55,1,61,7/07/2019,5.2,4,88
150,Lovely 2 Bedroom in Upper West Side,39599671,Sara,Manhattan,Upper West Side,40.79045,-73.97361,Entire home/apt,200,5,12,16/06/2018,0.26,1,0
151,Musician's Getaway + Full Analog Recording Studio,58225,Joshua,Brooklyn,Bedford-Stuyvesant,40.69097,-73.94721,Private room,101,2,9,13/05/2019,0.36,1,364
152,"Dominique's mini room NYC-sleep, shower & go*wifi",310670,Vie,Bronx,Eastchester,40.88001,-73.8345,Private room,62,2,5,11/07/2017,0.12,13,320
153,Spacious Modern Flat in the Heart of Williamsburg,93090420,Patrick,Brooklyn,Williamsburg,40.71327,-73.96155,Private room,100,1,0,,,1,66
154,Christmas Shopping in Manhattan,19080025,Elsa,Manhattan,Midtown,40.76365,-73.98149,Private room,350,4,0,,,1,0
155,Bushwick Loft On Trainline,40110507,Jonathan,Brooklyn,Bedford-Stuyvesant,40.68691,-73.91798,Entire home/apt,85,4,5,3/01/2019,0.28,1,0
156,Spacious One Bedroom Apartment,106030531,Pablo,Manhattan,Morningside Heights,40.81456,-73.95953,Entire home/apt,110,7,1,6/01/2018,0.05,1,0
157,MASTER  ROOM # 2 Near from JFK  & LGA Airport.,214738765,Lucio,Queens,Richmond Hill,40.6944,-73.83192,Private room,75,1,5,5/07/2019,4.05,3,365
158,The Albany Residence,35387196,Kizzie,Brooklyn,Crown Heights,40.67139,-73.93931,Entire home/apt,100,7,1,16/08/2018,0.09,4,78
159,"3 BR, Bklyn, Long/Short Term",2261995,Sarah,Brooklyn,Bedford-Stuyvesant,40.68091,-73.94392,Entire home/apt,150,1,0,,,3,359
160,AWESOME SUNNY ROOM C IN A CHARMING AREA!,29650513,Katie Graham,Brooklyn,Bedford-Stuyvesant,40.69307,-73.96073,Private room,90,30,30,30/03/2019,0.58,6,338
161,"Bright large studio loft, 100% private, Bushwick",62649248,Benjamin,Brooklyn,Bushwick,40.70429,-73.91688,Entire home/apt,90,2,89,1/07/2019,4.67,2,38
162,Modern Trendy Duplex Brooklyn Loft!,6407125,Alyssia,Brooklyn,Bushwick,40.69776,-73.90939,Entire home/apt,160,2,31,26/10/2018,0.42,1,0
163,"Relaxed, artist-inspired duplex in Bed Stuy",98485181,Christopher,Brooklyn,Bedford-Stuyvesant,40.6876,-73.92691,Private room,79,2,16,16/06/2019,1.12,1,173
164,Private room in a high floor apt,167796,Kamini,Manhattan,East Harlem,40.80237,-73.9437,Private room,250,1,0,,,1,365
165,The Red Door,51813748,Genny & Gina,Brooklyn,Williamsburg,40.71936,-73.94225,Entire home/apt,185,4,77,20/06/2019,1.8,1,25
166,Spacious  2 bed Loft apartment Bedford L,1394719,Jill,Brooklyn,Williamsburg,40.7177,-73.95576,Entire home/apt,110,4,0,,,1,354
167,"Huge, Cozy 1BR in the ❤️️ of Harlem",25003560,Adam,Manhattan,Harlem,40.81405,-73.95285,Entire home/apt,125,1,31,3/09/2018,0.57,1,188
168,Cozy Bushwich Decatur 3F Room #4,258248138,Fanny,Brooklyn,Bushwick,40.68678,-73.90769,Private room,50,1,4,25/06/2019,1.88,2,160
169,SUPER COZY 2 BEDS IN BEST PART OF CHELSEA!!,91268177,Beatriz,Manhattan,Chelsea,40.7448,-74.00761,Entire home/apt,299,3,0,,,4,220
170,Sonder | Stock Exchange | Timeless 3BR + Sofa Bed,219517861,Sonder (NYC),Manhattan,Financial District,40.70709,-74.01037,Entire home/apt,475,2,7,18/06/2019,3.23,327,253
